,match_id,gameid,game,blue_team,red_team,result,BRION,GEN,KDF,DK,HLE,KT,DRX,LSB,T1,NS
449,450,ESPORTSTMNT01_3409605,game_1,DK,HLE,HLE,0.3,0.75,0.33,0.61,0.57,0.71,0.31,0.42,0.65,0.26
450,451,ESPORTSTMNT01_3408676,game_2,DK,HLE,HLE,0.3,0.75,0.33,0.61,0.57,0.71,0.31,0.42,0.65,0.26
451,452,ESPORTSTMNT01_3409629,game_1,BRION,GEN,BRION,0.31,0.74,0.33,0.61,0.57,0.71,0.31,0.42,0.65,0.26
452,453,ESPORTSTMNT01_3407785,game_2,GEN,BRION,BRION,0.31,0.73,0.33,0.61,0.57,0.71,0.31,0.42,0.65,0.26
453,454,ESPORTSTMNT01_3409937,game_1,DRX,KDF,DRX,0.31,0.73,0.33,0.61,0.57,0.71,0.31,0.42,0.65,0.26
454,455,ESPORTSTMNT01_3409963,game_2,KDF,DRX,DRX,0.31,0.73,0.33,0.61,0.57,0.71,0.32,0.42,0.65,0.26
455,456,ESPORTSTMNT01_3411014,game_1,KT,LSB,KT,0.31,0.73,0.33,0.61,0.57,0.71,0.32,0.41,0.65,0.26
456,457,ESPORTSTMNT01_3410111,game_2,LSB,KT,KT,0.31,0.73,0.33,0.61,0.57,0.71,0.32,0.41,0.65,0.26
457,458,ESPORTSTMNT01_3410511,game_1,HLE,DRX,HLE,0.31,0.73,0.33,0.61,0.58,0.71,0.32,0.41,0.65,0.26
458,459,ESPORTSTMNT01_3411490,game_2,DRX,HLE,HLE,0.31,0.73,0.33,0.61,0.58,0.71,0.31,0.41,0.65,0.26
459,460,ESPORTSTMNT01_3412431,game_3,DRX,HLE,HLE,0.31,0.73,0.33,0.61,0.58,0.71,0.31,0.41,0.65,0.26
460,461,ESPORTSTMNT01_3410713,game_1,DK,T1,T1,0.31,0.73,0.33,0.6,0.58,0.71,0.31,0.41,0.66,0.26
461,462,ESPORTSTMNT01_3410723,game_2,DK,T1,DK,0.31,0.73,0.33,0.6,0.58,0.71,0.31,0.41,0.65,0.26
462,463,ESPORTSTMNT01_3410725,game_3,T1,DK,T1,0.31,0.73,0.33,0.6,0.58,0.71,0.31,0.41,0.65,0.26
463,464,ESPORTSTMNT01_3411711,game_4,DK,T1,T1,0.31,0.73,0.33,0.59,0.58,0.71,0.31,0.41,0.66,0.26
464,465,ESPORTSTMNT01_3412825,game_1,KT,T1,KT,0.31,0.73,0.33,0.59,0.58,0.72,0.31,0.41,0.65,0.26
465,466,ESPORTSTMNT01_3412846,game_2,T1,KT,T1,0.31,0.73,0.33,0.59,0.58,0.71,0.31,0.41,0.65,0.26
466,467,ESPORTSTMNT01_3412852,game_3,KT,T1,T1,0.31,0.73,0.33,0.59,0.58,0.7,0.31,0.41,0.66,0.26
467,468,ESPORTSTMNT01_3410923,game_4,KT,T1,KT,0.31,0.73,0.33,0.59,0.58,0.7,0.31,0.41,0.65,0.26
